"Employed Persons by Major Occupation, by Region, by Sex: 2018 to 2021"

"Geolocation","Major Occupation","2018 January Male","2018 January Female","2018 April Male","2018 April Female","2018 July Male","2018 July Female","2018 October Male","2018 October Female","2018 Annual Male","2018 Annual Female","2018 February Male","2018 February Female","2018 March Male","2018 March Female","2018 May Male","2018 May Female","2018 June Male","2018 June Female","2018 August Male","2018 August Female","2018 September Male","2018 September Female","2018 November Male","2018 November Female","2018 December Male","2018 December Female","2019 January Male","2019 January Female","2019 April Male","2019 April Female","2019 July Male","2019 July Female","2019 October Male","2019 October Female","2019 Annual Male","2019 Annual Female","2019 February Male","2019 February Female","2019 March Male","2019 March Female","2019 May Male","2019 May Female","2019 June Male","2019 June Female","2019 August Male","2019 August Female","2019 September Male","2019 September Female","2019 November Male","2019 November Female","2019 December Male","2019 December Female","2020 January Male","2020 January Female","2020 April Male","2020 April Female","2020 July Male","2020 July Female","2020 October Male","2020 October Female","2020 Annual Male","2020 Annual Female","2020 February Male","2020 February Female","2020 March Male","2020 March Female","2020 May Male","2020 May Female","2020 June Male","2020 June Female","2020 August Male","2020 August Female","2020 September Male","2020 September Female","2020 November Male","2020 November Female","2020 December Male","2020 December Female","2021 January Male","2021 January Female","2021 April Male","2021 April Female","2021 July Male","2021 July Female","2021 October Male","2021 October Female","2021 Annual Male","2021 Annual Female","2021 February Male","2021 February Female","2021 March Male","2021 March Female","2021 May Male","2021 May Female","2021 June Male","2021 June Female","2021 August Male","2021 August Female","2021 September Male","2021 September Female","2021 November Male","2021 November Female","2021 December Male","2021 December Female"
"NCR","Managers",393.268,448.821,412.267,448.700,383.575,435.604,448.532,473.166,409.411,451.573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,372.520,397.328,410.381,460.372,435.000,414.000,452.696,419.058,418.000,423.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,396.067,454.649,282.682,293.795,269.832,356.981,245.933,370.470,298.629,368.974,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,276.985,30.477,229.156,399.164,259.598,328.990,256.256,383.045,259.628,347.942,336.628,459.808,291.833,344.257,256.636,451.373,238.375,327.137,288.115,283.240,219.721,339.790,259.102,318.265,203.138,174.510
"NCR","Professionals",199.566,211.795,193.381,204.823,191.332,234.955,209.982,226.309,198.565,219.471,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199.141,249.356,189.204,240.872,218.000,229.000,247.756,271.257,213.000,248.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,207.701,265.060,161.767,200.202,163.860,216.035,199.901,229.747,183.307,227.761,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,205.003,20.813,195.731,246.057,169.830,223.668,192.450,242.628,190.973,249.228,251.271,280.742,194.214,242.066,163.804,241.431,175.975,263.837,168.893,202.638,146.808,157.710,227.893,329.200,199.804,311.004
"NCR","Technicians and Associate Professionals",164.642,127.503,229.759,190.970,207.958,169.456,220.397,155.177,205.689,160.777,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,193.275,164.637,213.310,178.293,217.000,164.000,192.622,179.903,204.000,172.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,169.413,144.949,124.671,109.463,143.695,121.748,207.302,169.984,161.270,136.536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,203.813,14.398,185.859,132.908,225.438,190.290,254.532,198.453,216.668,180.601,248.194,226.826,168.626,146.132,214.275,104.017,216.809,195.469,222.639,242.008,154.115,125.369,244.412,203.428,261.300,229.533
"NCR","Clerical Support Workers",263.171,366.055,284.011,373.538,277.363,355.856,305.263,399.884,282.452,373.833,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,345.595,440.500,308.202,430.998,323.000,439.000,323.923,484.717,325.000,449.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,329.908,469.327,297.842,414.131,291.802,415.023,280.186,382.026,299.935,420.127,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,315.970,34.780,315.925,382.357,302.250,405.338,331.279,469.342,317.935,417.760,244.325,353.544,375.622,439.195,285.402,317.152,254.755,410.450,324.953,447.853,316.869,419.971,364.640,459.347,383.226,491.205
"NCR","Service and Sales Workers",519.710,519.266,503.853,475.251,503.214,505.897,490.274,525.902,504.263,506.579,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,517.466,605.185,564.047,583.954,618.000,614.000,554.993,585.930,564.000,597.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,604.652,575.750,527.885,491.200,603.139,611.435,537.231,638.461,568.227,579.212,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,576.762,49.758,536.870,664.889,580.274,697.253,615.557,679.991,600.086,723.475,561.178,639.941,621.523,771.095,604.800,680.285,590.284,717.866,588.735,881.520,584.778,678.961,647.273,695.412,692.999,977.382
"NCR","Skilled Agricultural Forestry and Fishery Workers",8.109,0.252,15.520,0.696,8.645,0.737,16.907,1.170,12.295,0.714,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.301,0.726,10.443,0.269,17.000,1.000,6.140,..,10.000,1.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.161,0.360,3.514,0.240,5.427,0.223,9.300,0.704,6.601,0.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.940,0.230,3.037,0.780,5.361,1.101,9.030,2.057,6.710,1.752,6.018,3.806,19.550,0.411,10.191,6.407,8.631,3.696,0.636,0.000,0.000,0.000,1.654,0.000,7.471,0.000
"NCR","Craft and Related Trades Workers",379.324,60.515,417.649,74.920,411.242,67.475,401.214,52.633,402.357,63.886,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,476.798,66.158,435.411,69.163,420.000,65.000,454.848,61.804,447.000,65.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,402.628,63.551,359.118,54.383,342.205,52.794,339.170,42.851,360.780,53.395,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,375.495,5.618,369.362,58.399,360.237,60.686,371.910,55.666,391.048,60.622,386.565,54.439,480.681,54.670,361.782,54.632,452.226,71.963,432.658,94.274,396.089,72.868,368.002,35.931,337.566,46.517
"NCR","Plant and Machine Operators and Assemblers",473.279,34.127,393.816,26.759,459.502,38.580,439.037,30.296,441.409,32.441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,449.373,39.245,438.028,38.761,442.000,37.000,453.602,36.653,446.000,38.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,445.663,38.096,399.531,25.692,508.196,27.231,465.437,31.134,454.707,30.538,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,448.385,2.481,445.070,34.236,489.643,32.616,435.968,36.702,460.118,29.715,459.807,33.068,448.543,22.899,426.806,18.833,463.481,18.916,466.772,11.349,495.293,49.882,452.043,44.757,489.604,23.551
"NCR","Elementary Occupations",570.339,364.205,502.132,358.258,555.600,378.197,493.923,368.890,530.499,367.388,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,589.790,357.016,549.533,333.791,565.000,389.000,523.875,380.666,557.000,365.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,620.063,322.949,585.304,386.316,529.232,303.557,549.273,272.487,570.968,321.327,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,597.604,27.301,611.554,359.421,673.721,315.338,681.872,353.688,648.056,383.543,601.772,434.915,518.464,437.227,616.865,396.039,759.815,379.292,671.128,347.165,731.931,427.391,646.021,408.538,665.926,415.889
"NCR","Armed Forces Occupations",3.526,0.999,4.793,1.255,9.459,0.365,8.432,0.921,6.553,0.885,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.585,0.228,2.904,0.503,7.000,0.000,7.054,..,7.000,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.476,5.347,2.156,0.495,4.698,2.302,4.451,0.000,6.445,2.036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.623,0.045,15.631,2.155,4.809,0.716,3.484,2.148,7.012,2.066,9.575,2.343,1.598,0.000,3.282,1.623,23.406,5.920,3.919,0.000,5.354,2.984,1.760,6.361,6.701,0.000
"CAR","Managers",48.737,52.564,35.589,40.745,37.264,50.212,39.871,58.812,40.365,50.583,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.992,51.578,44.421,51.100,42.523,51.448,46.357,51.396,44.823,51.381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.746,50.722,21.020,31.936,31.638,50.010,30.692,43.586,32.274,44.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.274,3.664,31.881,50.276,29.485,50.283,34.098,48.728,27.808,45.165,23.688,48.738,19.786,43.881,34.765,42.942,35.385,47.092,30.909,52.682,23.277,45.866,23.371,55.429,21.773,12.092
"CAR","Professionals",18.584,43.441,16.370,33.520,14.718,36.435,17.735,40.393,16.852,38.447,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.720,34.113,17.579,35.217,12.968,37.262,19.676,39.328,16.736,36.480,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.393,35.166,8.569,22.096,14.603,39.534,15.131,48.521,14.174,36.329,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.561,3.345,17.697,37.416,15.591,36.602,16.669,35.787,16.285,39.353,11.328,49.959,17.103,33.769,15.517,39.205,11.544,49.660,14.356,40.639,15.337,37.277,20.058,36.824,19.663,34.959
"CAR","Technicians and Associate Professionals",14.223,11.840,10.495,10.867,15.738,13.015,12.062,15.603,13.130,12.831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.026,16.415,13.572,13.910,9.852,14.328,15.367,14.981,12.454,14.909,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.485,11.753,4.827,10.332,11.332,9.596,11.301,16.496,9.736,12.044,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.533,0.775,13.199,13.615,13.911,14.693,15.200,14.143,13.317,12.109,12.325,15.911,10.272,8.008,12.242,13.544,16.995,17.752,10.777,5.946,17.265,12.175,13.166,9.931,10.923,10.292
"CAR","Clerical Support Workers",11.648,18.751,8.749,15.545,8.263,18.207,9.620,12.847,9.570,16.337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.769,18.364,6.885,15.615,12.732,21.578,14.902,19.165,10.822,18.681,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.331,14.540,6.854,8.730,6.233,13.881,9.943,21.620,7.340,14.693,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.693,1.705,8.483,20.995,11.738,22.804,11.900,19.929,11.117,22.797,13.070,21.619,6.212,17.795,3.689,20.940,5.636,24.082,7.702,22.534,20.193,25.526,16.978,31.027,18.108,25.857
"CAR","Service and Sales Workers",31.974,35.295,32.997,36.770,35.880,42.972,36.605,43.896,34.364,39.733,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.559,38.329,34.327,38.925,30.117,39.631,30.318,39.868,31.330,39.188,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.012,39.208,19.909,19.492,25.140,30.845,34.350,33.638,28.353,30.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.540,3.022,36.570,40.181,35.555,48.118,33.350,43.830,34.299,43.463,22.950,29.638,44.345,43.939,30.831,42.060,38.976,35.781,26.111,41.990,36.955,43.693,34.186,39.041,44.223,77.009
"CAR","Skilled Agricultural Forestry and Fishery Workers",161.015,37.066,143.085,43.289,130.865,38.394,135.603,31.513,142.642,37.566,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118.782,36.453,140.580,26.633,131.494,28.924,133.641,38.544,131.124,32.639,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,152.658,35.240,135.860,28.401,147.872,30.780,130.435,33.928,141.706,32.087,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,134.963,3.394,147.996,39.945,124.325,37.638,157.567,50.000,141.589,39.988,134.128,36.975,126.511,36.356,167.615,56.881,144.722,42.397,123.074,30.522,162.015,29.866,145.817,27.372,130.336,51.173
"CAR","Craft and Related Trades Workers",29.698,3.042,35.224,2.433,33.146,1.516,32.531,2.897,32.650,2.472,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.200,2.569,28.848,3.345,38.865,2.087,25.004,4.210,32.229,3.053,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.156,2.402,8.464,1.515,37.133,4.803,36.496,1.569,26.312,2.572,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.288,0.298,29.380,3.841,35.593,4.501,30.404,4.188,31.443,3.236,35.739,2.394,35.402,3.438,26.528,5.215,32.665,3.219,33.347,4.279,27.275,2.642,31.625,0.725,27.067,0.809
"CAR","Plant and Machine Operators and Assemblers",33.045,1.907,33.541,4.580,37.335,1.280,32.795,1.414,34.179,2.295,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.923,2.423,25.105,2.665,31.315,1.574,31.685,1.066,28.757,1.932,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.493,2.453,18.267,1.731,36.066,1.905,30.919,0.691,29.936,1.695,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.618,0.157,30.244,2.143,34.569,2.068,29.025,1.058,31.203,1.232,36.881,0.794,25.175,1.307,30.103,0.000,27.786,0.828,53.678,0.000,23.291,3.027,18.189,0.000,38.875,1.681
"CAR","Elementary Occupations",114.344,87.650,138.972,88.425,149.784,92.193,145.485,90.123,137.146,89.598,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,121.512,76.451,131.199,90.508,128.474,80.580,123.127,75.380,126.078,80.730,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,125.514,95.572,85.997,77.441,127.542,95.041,137.896,78.410,119.237,86.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,145.705,6.911,130.716,95.210,152.979,97.266,125.514,88.917,142.047,95.306,152.778,106.532,151.259,96.528,132.318,90.958,129.857,91.573,150.008,100.765,134.872,89.758,152.104,123.078,146.455,80.145
"CAR","Armed Forces Occupations",2.580,0.000,3.243,0.000,4.254,0.290,2.115,0.000,3.048,0.073,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.835,0.133,4.583,0.000,4.903,0.000,4.128,0.303,3.862,0.109,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.183,0.273,2.600,0.000,3.163,0.223,5.894,0.589,3.210,0.271,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.463,0.019,3.781,0.139,3.443,0.079,3.253,0.267,3.065,0.258,1.823,0.355,3.549,0.000,3.472,1.100,4.729,0.000,1.509,0.929,3.719,0.000,1.974,0.000,1.067,0.000
"REGION I","Managers",137.402,172.947,159.140,143.475,116.327,164.304,167.830,166.914,145.175,161.910,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,154.103,146.387,123.248,102.431,170.608,169.439,165.675,161.427,153.409,144.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,128.806,122.390,141.775,100.969,116.927,157.405,103.837,155.765,122.836,134.132,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,146.187,14.801,156.082,171.804,95.868,131.819,129.478,143.643,134.538,141.877,122.155,157.502,258.443,205.981,157.654,182.177,141.467,94.195,103.363,173.245,125.756,148.894,146.626,69.588,31.376,46.060
"REGION I","Professionals",48.843,76.429,37.381,62.893,38.295,71.884,33.775,64.093,39.574,68.825,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.405,59.621,44.479,84.514,29.875,82.310,41.973,80.351,38.183,76.699,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.117,48.762,30.089,56.793,24.226,80.858,58.394,76.061,36.207,65.619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.118,7.335,38.210,92.428,33.089,71.548,26.778,62.970,34.931,76.732,11.191,68.033,30.753,87.274,44.001,96.345,66.892,71.799,40.962,87.649,47.592,83.985,16.703,36.845,22.885,73.886
"REGION I","Technicians and Associate Professionals",32.605,25.768,25.376,29.426,21.844,34.068,29.639,29.628,27.366,29.723,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.436,23.106,25.947,39.420,15.127,32.434,20.521,27.878,20.758,30.710,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.626,32.118,18.544,30.923,25.655,20.374,25.944,25.281,23.192,27.174,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.055,2.829,43.029,23.528,27.054,28.102,29.614,24.765,33.949,26.335,31.612,22.125,42.488,23.940,47.160,40.869,59.806,54.166,28.560,24.421,29.044,17.326,9.949,1.167,29.014,21.670
"REGION I","Clerical Support Workers",50.320,56.202,30.423,43.354,35.664,44.257,24.240,49.756,35.162,48.392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.927,41.448,24.520,40.592,30.177,34.945,35.988,41.036,29.903,39.505,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.059,54.707,18.508,28.582,32.876,38.870,34.998,50.578,29.610,43.184,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.939,4.750,42.577,37.402,36.164,50.430,36.391,49.669,38.760,50.382,25.817,48.035,47.769,74.097,37.951,50.786,22.550,19.617,30.701,33.265,28.135,57.778,60.369,69.655,58.753,56.850
"REGION I","Service and Sales Workers",140.278,183.621,123.017,192.171,150.291,169.440,161.025,216.448,143.653,190.420,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140.519,219.541,151.245,204.263,131.846,205.664,179.700,198.720,150.828,207.047,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174.304,216.537,141.682,158.127,137.653,218.463,139.881,199.871,148.380,198.250,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.229,15.584,150.754,234.642,158.934,220.670,176.608,251.457,175.629,243.034,161.019,208.229,212.835,202.846,131.800,237.453,160.084,244.876,168.827,152.391,177.387,274.635,197.321,340.428,202.752,361.772
